date,time,software/module,type_log,Interface_Descriptor,type
14-05-2009,06:44:51,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,06:44:52,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,06:50:10,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,06:50:10,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,06:55:02,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,06:55:02,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,07:00:03,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,07:00:03,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,07:05:18,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,07:05:19,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,07:10:16,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,07:10:16,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,07:14:52,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,07:14:52,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,07:20:11,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,07:20:11,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,07:25:18,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,07:25:18,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,07:30:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,07:30:05,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,07:34:45,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,07:34:45,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,07:40:15,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,07:40:16,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,07:45:19,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,07:45:19,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,07:50:10,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,07:50:10,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,07:55:25,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,07:55:26,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,08:00:02,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,08:00:02,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,08:05:18,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,08:05:18,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,08:10:27,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,08:10:27,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,08:11:39,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,ge-##/#/#
14-05-2009,08:11:39,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
14-05-2009,08:11:40,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
14-05-2009,08:11:40,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
14-05-2009,08:11:40,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-##/#/#
14-05-2009,08:11:41,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-##/#/#
14-05-2009,08:11:41,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-##/#/#
14-05-2009,08:11:42,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-##/#/#
14-05-2009,08:11:42,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
14-05-2009,08:11:42,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
14-05-2009,08:11:43,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
