Date,Time,Software/Module,User,Type_Log,Interface_Description,Data
2009-05-14,06:10:09,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,06:10:09,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,06:14:54,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,06:14:54,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,06:20:05,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,06:20:06,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,06:22:49,ifinfo,#,IFINFO_IFD_NAME,IFD,pp#
2009-05-14,06:25:09,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,06:25:09,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,06:30:04,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,06:30:04,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,06:34:55,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,06:34:56,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,06:40:04,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,06:40:04,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,06:44:51,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,06:44:52,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,06:50:10,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,06:50:10,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,06:55:02,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,06:55:02,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,07:00:03,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,07:00:03,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,07:05:18,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,07:05:19,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,07:10:16,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,07:10:16,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,07:14:52,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,07:14:52,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,07:20:11,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,07:20:11,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,07:25:18,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,07:25:18,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,07:30:04,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,07:30:05,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,07:34:45,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,07:34:45,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,07:40:15,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,07:40:16,ifinfo,#,IFINFO_IFD_NAME,IFD,|
