,log_no,date,time
264,1803,2009-05-14 21:25:26,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
265,1809,2009-05-14 21:30:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
266,1816,2009-05-14 21:35:58,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
267,1823,2009-05-14 21:40:43,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
268,1827,2009-05-14 21:44:45,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
269,1838,2009-05-14 21:50:05,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
270,1845,2009-05-14 21:55:16,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
271,1853,2009-05-14 22:00:05,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
272,1859,2009-05-14 22:04:56,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
273,1867,2009-05-14 22:10:42,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
274,1873,2009-05-14 22:14:46,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
275,1882,2009-05-14 22:20:11,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
276,1889,2009-05-14 22:25:17,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
277,1897,2009-05-14 22:30:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
278,1904,2009-05-14 22:35:09,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
279,1911,2009-05-14 22:40:34,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
280,1918,2009-05-14 22:45:25,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
281,1925,2009-05-14 22:50:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
282,1932,2009-05-14 22:55:09,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
283,1940,2009-05-14 23:00:03,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
284,1947,2009-05-14 23:05:17,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
285,1967,2009-05-14 23:10:40,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
286,1975,2009-05-14 23:15:16,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
287,1982,2009-05-14 23:20:05,ifinfo: %USER--IFINFO_IFD_NAME: IFD: |
